year,constructorid
1958,118
1959,87
1960,87
1961,6
1962,66
1963,32
1964,6
1965,32
1966,34
1967,34
1968,32
1969,82
1970,32
1971,25
1972,32
1973,32
1974,1
1975,6
1976,6
1977,6
1978,32
1979,6
1980,3
1981,3
1982,6
1983,6
1984,1
1985,1
1986,3
1987,3
1988,1
1989,1
1990,1
1991,1
1992,3
1993,3
1994,3
1995,22
1996,3
1997,3
1998,1
1999,6
2000,6
2001,6
2002,6
2003,6
2004,6
2005,4
2006,4
2007,6
2008,6
2009,23
2010,9
2011,9
2012,9
2013,9
2014,131
2015,131
2016,131
2017,131
2018,131
2019,131
2020,131
2021,131
2022,9
